window,batch,lr,hidden,dropout,r2,rmse,best_val_loss
20,64,0.0001,256,0.2,-0.2533385753631592,0.012173427582695004,8.365968096768484e-05
30,64,0.001,64,0.5,-0.27311503887176514,0.012411278623523878,6.257903442019597e-05
30,64,0.0001,256,0.5,-0.29073965549468994,0.01249689176684091,6.610075070057064e-05
30,32,0.0001,128,0.3,-0.2964000701904297,0.012524263458201602,6.3099323597271e-05
40,128,0.0005,256,0.2,-0.29919302463531494,0.012635651343264005,6.164584192447364e-05
30,64,0.0001,64,0.5,-0.31687116622924805,0.012622760047366007,9.351089101983234e-05
30,64,0.0001,128,0.5,-0.33040475845336914,0.012687456584291507,6.993544957367703e-05
40,128,0.001,128,0.2,-0.33532679080963135,0.012810160668484248,6.101555482018739e-05
40,32,0.0001,64,0.3,-0.34548985958099365,0.01285881713582556,6.105616193963215e-05
30,64,0.0001,128,0.3,-0.3463972806930542,0.012763486238244581,7.37252485123463e-05
30,128,0.0005,256,0.2,-0.3500959873199463,0.012781004712109354,6.344899156829342e-05
20,64,0.0001,64,0.5,-0.40273118019104004,0.012878517968571472,9.976115688914433e-05
30,128,0.0005,64,0.2,-0.40350472927093506,0.013031356503059418,6.405058229574934e-05
20,128,0.001,64,0.2,-0.4080822467803955,0.012903058853970731,9.19593294383958e-05
40,32,0.0005,64,0.2,-0.41101062297821045,0.013168185775813506,6.066071364330128e-05
30,64,0.001,128,0.2,-0.4346792697906494,0.013175287323186279,6.244707037694752e-05
40,128,0.0001,128,0.3,-0.4429762363433838,0.013316508782043242,6.275475607253611e-05
40,64,0.001,64,0.5,-0.44664859771728516,0.013333443637752677,6.100643804529682e-05
20,64,0.0005,128,0.2,-0.49470746517181396,0.013294033886607336,8.832723688101396e-05
40,64,0.0005,64,0.3,-0.5241771936416626,0.01368606259120976,6.219556962605566e-05
20,128,0.001,128,0.2,-0.5771021842956543,0.013655530897095166,8.662337495479733e-05
30,64,0.0005,64,0.2,-0.6093337535858154,0.013954226210560243,6.32653827778995e-05
20,128,0.0005,256,0.3,-0.8452744483947754,0.014770974790268922,8.977617108030245e-05
40,128,0.0001,64,0.5,-0.8728766441345215,0.015171040953895884,6.308322917902842e-05
20,64,0.0005,128,0.3,-0.8751115798950195,0.014889915709067971,8.842552051646635e-05
40,128,0.001,256,0.2,-1.0234997272491455,0.015769298707607224,6.0832742747152224e-05
40,64,0.0005,256,0.5,-1.0529720783233643,0.01588372330779506,8.980365237221122e-05
30,128,0.0005,64,0.5,-1.3439462184906006,0.016840559927535838,7.431126869050786e-05
20,32,0.0001,64,0.2,-1.5489766597747803,0.01736047476812594,9.27052169572562e-05
20,128,0.0001,128,0.5,-3.024257183074951,0.021813308895945828,0.00011181730224052444
