window,batch,lr,hidden,dropout,r2,rmse,accuracy
20,64,0.0005,128,0.3,0.02092522382736206,0.010759364288546614,46.15384615384615
40,128,0.0005,128,0.3,0.018347561359405518,0.010983472691440377,47.53086419753087
40,128,0.0005,128,0.2,0.012968063354492188,0.01101352649574337,46.91358024691358
40,32,0.0001,128,0.5,0.009734511375427246,0.011031552125496205,45.67901234567901
40,32,0.001,128,0.5,0.008889198303222656,0.011036259381891926,46.91358024691358
40,64,0.0005,128,0.3,0.00860816240310669,0.011037824066146012,50.0
30,64,0.0005,128,0.5,0.007779121398925781,0.010956879061604172,47.093023255813954
20,128,0.001,128,0.5,0.006045103073120117,0.010840816940082527,47.252747252747255
20,32,0.0005,128,0.3,0.005872964859008789,0.01084175552121644,47.252747252747255
20,64,0.001,128,0.5,0.005194425582885742,0.010845455028095353,47.8021978021978
30,64,0.0001,256,0.3,0.003477156162261963,0.010980605913446824,45.93023255813954
30,64,0.001,128,0.5,0.003089606761932373,0.01098274099545495,47.093023255813954
20,32,0.0005,64,0.3,0.0016502141952514648,0.010864757408484907,46.7032967032967
40,64,0.001,128,0.5,0.0012922883033752441,0.011078475247875435,46.2962962962963
20,32,0.001,128,0.3,0.0008717179298400879,0.010868992671126643,47.252747252747255
40,64,0.0005,128,0.2,0.0004361867904663086,0.011083222643477381,46.91358024691358
30,64,0.001,256,0.3,0.0001767873764038086,0.010998774471918235,45.348837209302324
30,128,0.0005,256,0.5,-0.00067138671875,0.01100343855303017,50.0
20,64,0.0005,256,0.5,-0.0007445812225341797,0.010877780655432377,47.8021978021978
20,128,0.0001,256,0.3,-0.0010249614715576172,0.010879304263168167,47.252747252747255
30,32,0.001,256,0.5,-0.0012639760971069336,0.011006696350522188,48.25581395348837
20,64,0.001,256,0.3,-0.0014820098876953125,0.010881787861548635,49.45054945054945
30,128,0.001,256,0.5,-0.001592397689819336,0.0110085008643853,48.25581395348837
30,32,0.001,256,0.3,-0.0017328262329101562,0.011009272815139,47.674418604651166
20,64,0.0005,64,0.5,-0.0022192001342773438,0.010885791587388116,47.8021978021978
20,32,0.0005,64,0.2,-0.0028710365295410156,0.010889331141216017,47.8021978021978
20,64,0.001,256,0.5,-0.003764033317565918,0.010894178326058095,47.252747252747255
40,32,0.0005,128,0.5,-0.003784775733947754,0.011106599017481459,48.76543209876543
20,32,0.0005,128,0.2,-0.0038793087005615234,0.01089480410767091,44.505494505494504
30,128,0.0001,128,0.3,-0.00553131103515625,0.011030126726775688,45.93023255813954
20,32,0.0005,256,0.3,-0.007352113723754883,0.01091363253974035,46.7032967032967
20,64,0.0001,64,0.3,-0.007792353630065918,0.010916017012319614,48.35164835164835
40,64,0.001,256,0.5,-0.008529067039489746,0.011132815401804696,48.148148148148145
30,128,0.001,256,0.3,-0.00977015495300293,0.011053350443783201,48.25581395348837
20,128,0.0005,128,0.2,-0.010196089744567871,0.010929027776775667,46.15384615384615
20,128,0.001,256,0.5,-0.011047124862670898,0.010933629776401934,50.0
30,128,0.0005,128,0.3,-0.01180124282836914,0.011064462179851952,46.51162790697674
40,32,0.0005,256,0.3,-0.01194143295288086,0.011151633123080928,46.91358024691358
30,128,0.001,128,0.3,-0.011983036994934082,0.011065455106834468,46.51162790697674
40,128,0.0005,256,0.3,-0.012276053428649902,0.011153476813273567,47.53086419753087
20,128,0.001,256,0.3,-0.012397170066833496,0.010940927501701043,49.45054945054945
20,32,0.0005,64,0.5,-0.012502670288085938,0.010941497410721666,47.8021978021978
30,128,0.0001,64,0.2,-0.013200879096984863,0.011072111992157897,46.51162790697674
30,32,0.001,256,0.2,-0.013521432876586914,0.011073863138984981,42.44186046511628
20,32,0.0001,256,0.3,-0.013865828514099121,0.010948860333472992,49.45054945054945
40,128,0.0005,128,0.5,-0.013875842094421387,0.011162286566782198,49.382716049382715
20,128,0.001,256,0.2,-0.014307498931884766,0.010951244776266088,45.604395604395606
40,32,0.001,64,0.5,-0.014744758605957031,0.011167069351661934,49.382716049382715
30,128,0.001,256,0.2,-0.01577436923980713,0.011086164614010713,44.76744186046512
30,32,0.0005,256,0.5,-0.01646256446838379,0.011089918726301143,46.51162790697674
20,32,0.0001,128,0.2,-0.016751527786254883,0.010964430735713453,46.7032967032967
20,64,0.001,64,0.5,-0.018446803092956543,0.010973567638401422,51.64835164835165
20,32,0.001,64,0.3,-0.018459320068359375,0.010973635268675749,45.604395604395606
40,128,0.001,256,0.3,-0.018679261207580566,0.011188696967931745,45.67901234567901
40,32,0.001,256,0.2,-0.018904566764831543,0.011189935061777607,43.20987654320987
40,64,0.0005,256,0.5,-0.01899278163909912,0.01119041946772528,48.148148148148145
40,32,0.0005,128,0.2,-0.019396305084228516,0.011192635113803327,47.53086419753087
30,32,0.0001,256,0.5,-0.020678997039794922,0.01111289669491965,43.604651162790695
40,32,0.001,64,0.2,-0.02088606357574463,0.011200809965547853,46.2962962962963
40,32,0.0001,256,0.3,-0.021687746047973633,0.011205206841036543,45.67901234567901
