window,batch,lr,hidden,dropout,r2,rmse,accuracy,dir_accuracy
20,32,0.0001,64,0.2,-999,999,0,0
20,32,0.0001,64,0.3,-999,999,0,0
20,32,0.0001,128,0.2,-999,999,0,0
20,32,0.0001,128,0.3,-999,999,0,0
20,32,0.0001,256,0.2,-999,999,0,0
20,32,0.0001,256,0.3,-999,999,0,0
20,32,0.0005,64,0.2,-999,999,0,0
20,32,0.0005,64,0.3,-999,999,0,0
20,32,0.0005,128,0.2,-999,999,0,0
20,32,0.0005,128,0.3,-999,999,0,0
20,32,0.0005,256,0.2,-999,999,0,0
20,32,0.0005,256,0.3,-999,999,0,0
20,32,0.001,64,0.2,-999,999,0,0
20,32,0.001,64,0.3,-999,999,0,0
20,32,0.001,128,0.2,-999,999,0,0
20,32,0.001,128,0.3,-999,999,0,0
20,32,0.001,256,0.2,-999,999,0,0
20,32,0.001,256,0.3,-999,999,0,0
20,64,0.0001,64,0.2,-999,999,0,0
20,64,0.0001,64,0.3,-999,999,0,0
20,64,0.0001,128,0.2,-999,999,0,0
20,64,0.0001,128,0.3,-999,999,0,0
20,64,0.0001,256,0.2,-999,999,0,0
20,64,0.0001,256,0.3,-999,999,0,0
20,64,0.0005,64,0.2,-999,999,0,0
20,64,0.0005,64,0.3,-999,999,0,0
20,64,0.0005,128,0.2,-999,999,0,0
20,64,0.0005,128,0.3,-999,999,0,0
20,64,0.0005,256,0.2,-999,999,0,0
20,64,0.0005,256,0.3,-999,999,0,0
20,64,0.001,64,0.2,-999,999,0,0
20,64,0.001,64,0.3,-999,999,0,0
20,64,0.001,128,0.2,-999,999,0,0
20,64,0.001,128,0.3,-999,999,0,0
20,64,0.001,256,0.2,-999,999,0,0
20,64,0.001,256,0.3,-999,999,0,0
30,32,0.0001,64,0.2,-999,999,0,0
30,32,0.0001,64,0.3,-999,999,0,0
30,32,0.0001,128,0.2,-999,999,0,0
30,32,0.0001,128,0.3,-999,999,0,0
30,32,0.0001,256,0.2,-999,999,0,0
30,32,0.0001,256,0.3,-999,999,0,0
30,32,0.0005,64,0.2,-999,999,0,0
30,32,0.0005,64,0.3,-999,999,0,0
30,32,0.0005,128,0.2,-999,999,0,0
30,32,0.0005,128,0.3,-999,999,0,0
30,32,0.0005,256,0.2,-999,999,0,0
30,32,0.0005,256,0.3,-999,999,0,0
30,32,0.001,64,0.2,-999,999,0,0
30,32,0.001,64,0.3,-999,999,0,0
30,32,0.001,128,0.2,-999,999,0,0
30,32,0.001,128,0.3,-999,999,0,0
30,32,0.001,256,0.2,-999,999,0,0
30,32,0.001,256,0.3,-999,999,0,0
30,64,0.0001,64,0.2,-999,999,0,0
30,64,0.0001,64,0.3,-999,999,0,0
30,64,0.0001,128,0.2,-999,999,0,0
30,64,0.0001,128,0.3,-999,999,0,0
30,64,0.0001,256,0.2,-999,999,0,0
30,64,0.0001,256,0.3,-999,999,0,0
30,64,0.0005,64,0.2,-999,999,0,0
30,64,0.0005,64,0.3,-999,999,0,0
30,64,0.0005,128,0.2,-999,999,0,0
30,64,0.0005,128,0.3,-999,999,0,0
30,64,0.0005,256,0.2,-999,999,0,0
30,64,0.0005,256,0.3,-999,999,0,0
30,64,0.001,64,0.2,-999,999,0,0
30,64,0.001,64,0.3,-999,999,0,0
30,64,0.001,128,0.2,-999,999,0,0
30,64,0.001,128,0.3,-999,999,0,0
30,64,0.001,256,0.2,-999,999,0,0
30,64,0.001,256,0.3,-999,999,0,0
40,32,0.0001,64,0.2,-999,999,0,0
40,32,0.0001,64,0.3,-999,999,0,0
40,32,0.0001,128,0.2,-999,999,0,0
40,32,0.0001,128,0.3,-999,999,0,0
40,32,0.0001,256,0.2,-999,999,0,0
40,32,0.0001,256,0.3,-999,999,0,0
40,32,0.0005,64,0.2,-999,999,0,0
40,32,0.0005,64,0.3,-999,999,0,0
40,32,0.0005,128,0.2,-999,999,0,0
40,32,0.0005,128,0.3,-999,999,0,0
40,32,0.0005,256,0.2,-999,999,0,0
40,32,0.0005,256,0.3,-999,999,0,0
40,32,0.001,64,0.2,-999,999,0,0
40,32,0.001,64,0.3,-999,999,0,0
40,32,0.001,128,0.2,-999,999,0,0
40,32,0.001,128,0.3,-999,999,0,0
40,32,0.001,256,0.2,-999,999,0,0
40,32,0.001,256,0.3,-999,999,0,0
40,64,0.0001,64,0.2,-999,999,0,0
40,64,0.0001,64,0.3,-999,999,0,0
40,64,0.0001,128,0.2,-999,999,0,0
40,64,0.0001,128,0.3,-999,999,0,0
40,64,0.0001,256,0.2,-999,999,0,0
40,64,0.0001,256,0.3,-999,999,0,0
40,64,0.0005,64,0.2,-999,999,0,0
40,64,0.0005,64,0.3,-999,999,0,0
40,64,0.0005,128,0.2,-999,999,0,0
40,64,0.0005,128,0.3,-999,999,0,0
40,64,0.0005,256,0.2,-999,999,0,0
40,64,0.0005,256,0.3,-999,999,0,0
40,64,0.001,64,0.2,-999,999,0,0
40,64,0.001,64,0.3,-999,999,0,0
40,64,0.001,128,0.2,-999,999,0,0
40,64,0.001,128,0.3,-999,999,0,0
40,64,0.001,256,0.2,-999,999,0,0
40,64,0.001,256,0.3,-999,999,0,0
